sample_id,predicted_class,confidence
CGVA_0005,blight,0.8821
CGVA_0011,blight,0.8821
CGVA_0017,mosaic,0.8821
CGVA_0023,blight,0.8821
CGVA_0029,blight,0.8821
CGVA_0035,blight,0.8821
CGVA_0041,blight,0.8821
CGVA_0047,blight,0.8821
CGVA_0053,blight,0.88133526
CGVA_0059,blight,0.8679267
CGVA_0065,blight,0.8821
CGVA_0071,blight,0.8821
CGVA_0077,blight,0.8821
CGVA_0083,blight,0.8821
CGVA_0089,blight,0.8821
CGVA_0095,blight,0.8821
CGVA_0101,leaf_spot,0.48587233
CGVA_0107,blight,0.8821
CGVA_0113,blight,0.8821
CGVA_0119,blight,0.7387773
CGVA_0125,blight,0.8821
CGVA_0131,blight,0.5328711
CGVA_0137,blight,0.8821
CGVA_0143,blight,0.8821
CGVA_0149,blight,0.8821
CGVA_0155,blight,0.8821
CGVA_0161,blight,0.8821
CGVA_0167,blight,0.8821
CGVA_0173,blight,0.8821
CGVA_0179,blight,0.8821
CGVA_0185,blight,0.8821
CGVA_0191,blight,0.80148125
CGVA_0197,blight,0.8821
CGVA_0203,blight,0.8821
CGVA_0209,blight,0.8821
CGVA_0215,blight,0.84483457
CGVA_0221,blight,0.8821
CGVA_0227,blight,0.8821
CGVA_0233,blight,0.8821
CGVA_0239,blight,0.8821
CGVA_0002,healthy,0.72439295
CGVA_0008,mosaic,0.7214388
CGVA_0014,mosaic,0.8785281
CGVA_0020,mosaic,0.8821
CGVA_0026,healthy,0.8165878
CGVA_0032,healthy,0.8821
CGVA_0038,healthy,0.66924125
CGVA_0044,mosaic,0.85561556
CGVA_0050,healthy,0.8821
CGVA_0056,healthy,0.8821
CGVA_0062,healthy,0.4095422
CGVA_0068,healthy,0.8821
CGVA_0074,mosaic,0.87278044
CGVA_0080,mosaic,0.8821
CGVA_0086,mosaic,0.68453443
CGVA_0092,healthy,0.8821
CGVA_0098,healthy,0.43597367
CGVA_0104,healthy,0.8821
CGVA_0110,healthy,0.71798927
CGVA_0116,mosaic,0.38997874
CGVA_0122,healthy,0.8247068
CGVA_0128,healthy,0.8821
CGVA_0134,healthy,0.8821
CGVA_0140,healthy,0.8821
CGVA_0146,healthy,0.8821
CGVA_0152,healthy,0.8821
CGVA_0158,healthy,0.6839313
CGVA_0164,mosaic,0.8821
CGVA_0170,healthy,0.8821
CGVA_0176,healthy,0.8821
CGVA_0182,healthy,0.53040516
CGVA_0188,healthy,0.8319254
CGVA_0194,healthy,0.8821
CGVA_0200,healthy,0.8821
CGVA_0206,healthy,0.8821
CGVA_0212,healthy,0.8821
CGVA_0218,leaf_spot,0.5482802
CGVA_0224,healthy,0.8821
CGVA_0230,mosaic,0.8821
CGVA_0236,healthy,0.86779624
CGVA_0000,leaf_spot,0.8821
CGVA_0006,leaf_spot,0.8821
CGVA_0012,leaf_spot,0.8821
CGVA_0018,mosaic,0.8821
CGVA_0024,leaf_spot,0.8821
CGVA_0030,leaf_spot,0.8821
CGVA_0036,leaf_spot,0.8821
CGVA_0042,leaf_spot,0.8821
CGVA_0048,leaf_spot,0.8821
CGVA_0054,leaf_spot,0.8821
CGVA_0060,leaf_spot,0.73683196
CGVA_0066,leaf_spot,0.8821
CGVA_0072,leaf_spot,0.7700558
CGVA_0078,leaf_spot,0.8821
CGVA_0084,leaf_spot,0.8821
CGVA_0090,leaf_spot,0.78928626
CGVA_0096,leaf_spot,0.6220032
CGVA_0102,leaf_spot,0.8821
CGVA_0108,leaf_spot,0.40929338
CGVA_0114,leaf_spot,0.8821
CGVA_0120,leaf_spot,0.8821
CGVA_0126,leaf_spot,0.8821
CGVA_0132,leaf_spot,0.79977155
CGVA_0138,leaf_spot,0.6592303
CGVA_0144,mosaic,0.59747934
CGVA_0150,leaf_spot,0.8821
CGVA_0156,leaf_spot,0.8821
CGVA_0162,leaf_spot,0.8451202
CGVA_0168,leaf_spot,0.8821
